,city,mar_status,age,xaccount_age,cred_limit,this_bill_rate,this_bill_mp,last_mp_days,six_bill_num,six_bill_avg_amt,six_cycle_mp_num,six_cycle_mp_avg_amt,six_bill_avg_debt_rate,six_bill_low_repay_num,epp_nbr_12m,alop_nbr_12m,epp_avg_amt_12m,alop_avg_amt_12m,consume_num_session12,consume_num_session6,consume_num_session3,consume_num_session,consume_amt_session12,consume_amt_session6,consume_amt_session3,consume_amt_session,month_avg_use_year,month_avg_use_month6,month_avg_use_month3,y
2462,125.0,0.0,37.0,5.0,45000.0,0.483019556,20648.9,9999.0,5.0,16596.06,0.0,0.0,2.489409,0.0,0.0,1.0,0.0,1666.67,29.0,29.0,19.0,7.0,65597.26,65597.26,54292.07,21735.88,0.291543378,0.291543378,0.402163481,0.0
5793,121.0,0.0,46.0,3.0,4500.0,1.06332,2645.69,9999.0,3.0,1721.65,0.0,0.0,0.137732,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,5.0,9098.94,9098.94,9098.94,4776.94,0.6739955559999999,0.6739955559999999,0.6739955559999999,0.0
7508,75.0,0.0,54.0,1.0,2000.0,0.8939299999999999,1609.07,9999.0,1.0,1787.86,0.0,0.0,0.42908640000000003,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,1787.86,1787.86,1787.86,1787.86,0.8939299999999999,0.8939299999999999,0.8939299999999999,0.0
6381,3.0,0.0,31.0,5.0,9000.0,0.0008888889999999999,7.6,9999.0,3.0,1039.0,0.0,0.0,0.09034782599999999,2.0,0.0,1.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470,57.0,0.0,35.0,22.0,38000.0,0.341107895,9541.8,60.0,6.0,15065.5,3.0,6381.55,1.2052399999999999,1.0,4.0,4.0,2597.05,2250.0,38.0,26.0,6.0,1.0,65910.7,35908.45,18909.92,10000.0,0.144541009,0.157493202,0.165876491,1.0
6774,77.0,0.0,45.0,7.0,30000.0,0.042221333,1203.31,181.0,6.0,1365.12,1.0,1016.5,0.0819072,1.0,1.0,0.0,84.71,0.0,24.0,24.0,24.0,12.0,5382.84,5382.84,5382.84,1266.64,0.059809333,0.059809333,0.059809333,0.0
1977,90.0,0.0,29.0,10.0,18500.0,0.081512973,7.6,9999.0,6.0,3159.4,0.0,0.0,0.468059259,4.0,5.0,0.0,1608.33,0.0,14.0,10.0,1.0,0.0,23003.0,19053.0,7300.0,0.0,0.14985667800000002,0.171648649,0.13153153199999998,0.0
916,88.0,2.0,23.0,15.0,4000.0,0.16455,3539.89,381.0,6.0,3107.48,0.0,0.0,0.9095063409999999,1.0,0.0,0.0,0.0,0.0,92.0,50.0,20.0,19.0,7234.1,2472.16,678.2,658.2,0.15071041699999999,0.103006667,0.056516667,0.0
2983,118.0,0.0,31.0,9.0,22500.0,0.039224444,838.42,9999.0,6.0,1263.17,0.0,0.0,0.11660030800000001,0.0,0.0,0.0,0.0,0.0,118.0,118.0,64.0,21.0,8256.9,8256.9,2970.69,882.55,0.06880750000000001,0.06880750000000001,0.044010222,0.0
217,139.0,0.0,28.0,9.0,38000.0,0.526315789,18999.33,9999.0,6.0,11827.37,0.0,0.0,0.47309480000000004,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,2.0,70966.3,70966.3,40000.0,20000.0,0.377480319,0.377480319,0.384615385,0.0
1625,103.0,2.0,24.0,11.0,6000.0,0.18402833300000002,418.41,12.0,6.0,2516.15,2.0,3397.38,0.603876,2.0,3.0,1.0,714.52,250.0,98.0,41.0,19.0,2.0,21648.73,9960.7,1677.1,529.94,0.328011061,0.276686111,0.093172222,0.0
9294,135.0,0.0,25.0,1.0,15000.0,0.080342,913.62,9999.0,1.0,1015.13,0.0,0.0,0.13535066699999998,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1205.13,1205.13,1205.13,1205.13,0.080342,0.080342,0.080342,1.0
4313,9.0,2.0,28.0,7.0,2000.0,1.030375,1893.11,9999.0,5.0,1978.17,0.0,0.0,1.3187799999999998,0.0,0.0,0.0,0.0,0.0,18.0,18.0,6.0,3.0,9997.72,9997.72,6079.75,2060.75,0.9997719999999999,0.9997719999999999,1.013291667,0.0
6293,3.0,0.0,47.0,8.0,2000.0,1.004,1888.6,9999.0,6.0,1709.71,0.0,0.0,0.155428182,0.0,0.0,0.0,0.0,0.0,9.0,7.0,3.0,1.0,15930.0,11980.0,6000.0,2000.0,0.995625,0.9983333329999999,1.0,0.0
3320,105.0,1.0,29.0,5.0,26000.0,1.187232692,21561.25,9999.0,4.0,17368.01,0.0,0.0,1.3894408,0.0,0.0,0.0,0.0,0.0,13.0,13.0,8.0,3.0,79716.05,79716.05,60346.05,30868.05,0.9269308140000001,0.9269308140000001,0.914334091,0.0
2617,41.0,0.0,45.0,8.0,5500.0,0.61,3173.24,9999.0,6.0,3243.79,0.0,0.0,0.324379,0.0,0.0,0.0,0.0,0.0,122.0,122.0,47.0,4.0,19426.25,19426.25,8236.73,3347.0,0.6070703129999999,0.6070703129999999,0.499195758,0.0
9028,1.0,0.0,29.0,61.0,54500.0,0.087446422,486.61,91.0,6.0,4655.3,1.0,1110.0,1.362526829,4.0,5.0,0.0,4907.15,0.0,77.0,28.0,22.0,12.0,71160.42,3285.0,1781.0,1291.5,0.108807982,0.010045871999999999,0.010892966,1.0
4160,44.0,0.0,42.0,4.0,8000.0,0.906375,6888.45,9999.0,4.0,6454.5,0.0,0.0,0.25818,0.0,0.0,0.0,0.0,0.0,13.0,13.0,11.0,5.0,25794.0,25794.0,20794.0,7243.0,0.8060625,0.8060625,0.8664166670000001,0.0
4425,74.0,0.0,33.0,12.0,26000.0,0.088598846,0.0,9999.0,6.0,4812.68,0.0,0.0,1.1550432,0.0,0.0,3.0,0.0,6500.0,45.0,40.0,21.0,0.0,21020.08,17065.08,9905.26,0.0,0.08769328300000001,0.11514898800000001,0.12715353,0.0
8475,89.0,0.0,53.0,7.0,28000.0,0.8004417859999999,21264.57,9999.0,6.0,14390.01,0.0,0.0,1.7268012,0.0,0.0,0.0,0.0,0.0,192.0,180.0,106.0,35.0,142001.86,124405.36,68444.42,22404.37,0.959472027,0.971916875,1.006535588,1.0
5387,121.0,0.0,25.0,2.0,20000.0,0.7946350000000001,14303.43,9999.0,1.0,15892.7,0.0,0.0,2.383905,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,15892.7,15892.7,15892.7,15892.7,0.7946350000000001,0.7946350000000001,0.7946350000000001,0.0
3461,135.0,2.0,24.0,15.0,21000.0,0.20480857100000002,17055.56,272.0,6.0,13423.42,0.0,0.0,2.51689125,2.0,6.0,0.0,1883.01,0.0,44.0,27.0,12.0,5.0,52044.82,20124.82,9238.97,2397.97,0.206527063,0.159720794,0.146650317,0.0
9716,68.0,0.0,35.0,60.0,52000.0,0.034031923,32468.05,270.0,6.0,26820.78,0.0,0.0,1.532616,6.0,1.0,0.0,2018.33,0.0,20.0,7.0,6.0,1.0,90647.0,22786.0,14586.0,135.0,0.145267628,0.073032051,0.0935,1.0
7491,77.0,0.0,55.0,19.0,60000.0,0.999983333,56999.01,9999.0,6.0,54124.36,0.0,0.0,3.9363170910000003,0.0,1.0,0.0,975.0,0.0,50.0,32.0,15.0,8.0,615540.3,367157.1,179884.0,59999.0,0.854917083,1.019880833,0.9993555559999999,0.0
5105,102.0,2.0,28.0,16.0,24000.0,0.09261666699999999,15612.17,9999.0,6.0,23000.04,0.0,0.0,2.486490811,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,16990.71,0.0,0.0,0.0,0.058995520999999995,0.0,0.0,0.0
6638,91.0,0.0,27.0,10.0,50000.0,0.81142,38487.25,9999.0,6.0,16196.67,0.0,0.0,3.239334,0.0,2.0,0.0,1533.06,0.0,58.0,39.0,22.0,8.0,112700.05,94955.2,87709.9,40563.0,0.285316582,0.316517333,0.584732667,0.0
3519,52.0,0.0,34.0,10.0,16000.0,0.160660625,9270.52,9999.0,6.0,5179.99,0.0,0.0,1.035998,0.0,0.0,0.0,0.0,0.0,531.0,323.0,230.0,93.0,52021.0,15384.94,8446.58,3102.28,0.32513125,0.16025979199999998,0.175970417,0.0
514,121.0,0.0,42.0,63.0,163000.0,0.20800000000000002,32208.8,1053.0,6.0,34884.99,0.0,0.0,2.4624698819999997,0.0,0.0,0.0,0.0,0.0,46.0,28.0,14.0,4.0,364552.47,193658.36,109940.61,33904.0,0.22699406600000002,0.208683578,0.224827423,0.0
6085,32.0,0.0,45.0,59.0,16000.0,1.0,15180.3,1115.0,6.0,13696.51,0.0,0.0,3.9132885710000003,0.0,0.0,0.0,0.0,0.0,36.0,18.0,9.0,3.0,191997.0,96000.0,48000.0,16000.0,0.999984375,1.0,1.0,0.0
1277,110.0,0.0,37.0,55.0,92000.0,0.34442195700000006,15858.72,114.0,6.0,49694.28,1.0,20000.0,6.934085581000001,0.0,1.0,0.0,1666.67,0.0,443.0,213.0,101.0,21.0,672180.65,348046.25,170410.24,28552.49,0.7090513190000001,0.630518569,0.617428406,0.0
6747,121.0,0.0,29.0,17.0,4500.0,1.001777778,4275.0,181.0,6.0,1748.16,0.0,0.0,0.13985279999999997,2.0,4.0,0.0,772.0,0.0,25.0,9.0,2.0,1.0,32241.2,10498.23,8500.0,4500.0,0.597059259,0.388823333,0.62962963,0.0
1848,28.0,2.0,29.0,8.0,15500.0,0.10696774199999999,1575.1,9999.0,6.0,888.88,0.0,0.0,0.152379429,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1105.0,1105.0,1105.0,1105.0,0.071290323,0.071290323,0.071290323,0.0
5710,114.0,1.0,37.0,11.0,20000.0,1.0004,19000.0,9999.0,6.0,17121.57,0.0,0.0,2.0545883999999996,0.0,0.0,0.0,0.0,0.0,37.0,26.0,12.0,4.0,199416.0,119810.0,59814.0,20000.0,0.99708,0.998416667,0.9969,0.0
3025,92.0,0.0,40.0,2.0,10000.0,0.234418,596.6,9999.0,2.0,2030.19,0.0,0.0,0.3045285,1.0,0.0,1.0,0.0,416.67,2.0,2.0,2.0,2.0,628.0,628.0,628.0,628.0,0.0314,0.0314,0.0314,0.0
5951,102.0,0.0,29.0,7.0,50000.0,0.0791666,0.0,42.0,5.0,11753.51,1.0,47500.0,1.037074412,3.0,1.0,0.0,3958.33,0.0,1.0,1.0,1.0,0.0,50000.0,50000.0,50000.0,0.0,0.333333333,0.333333333,0.333333333,0.0
8831,1.0,0.0,34.0,96.0,50000.0,0.001685,8877.73,9999.0,6.0,9894.57,0.0,0.0,2.3746967999999997,0.0,0.0,0.0,0.0,0.0,42.0,23.0,13.0,4.0,23362.67,15414.83,2276.85,84.25,0.044080509000000004,0.053154586,0.015179,1.0
685,121.0,0.0,29.0,19.0,11000.0,1.000636364,10272.98,546.0,6.0,12547.85,0.0,0.0,3.764355,0.0,0.0,0.0,0.0,0.0,24.0,8.0,3.0,1.0,227331.66,92679.0,34799.0,10999.0,1.014873482,1.041337079,1.054515152,0.0
9348,84.0,2.0,27.0,18.0,20000.0,0.664331,11830.43,98.0,6.0,10753.41,1.0,10000.0,2.5808183999999996,0.0,1.0,0.0,833.33,0.0,108.0,54.0,46.0,10.0,153628.07,86780.91,48657.83,12453.29,0.640116958,0.72317425,0.810963833,1.0
6080,81.0,2.0,25.0,11.0,5000.0,0.9456,4349.1,9999.0,6.0,4091.57,0.0,0.0,0.386605039,0.0,0.0,0.0,0.0,0.0,25.0,16.0,10.0,4.0,58793.0,28835.0,14156.0,4720.0,1.0689636359999999,0.961166667,0.943733333,0.0
3148,76.0,0.0,38.0,3.0,50000.0,0.7606816,35446.24,9999.0,3.0,42238.78,0.0,0.0,5.068653599999999,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,9.0,127595.83,127595.83,127595.83,38026.08,0.850638867,0.850638867,0.850638867,0.0
2643,120.0,0.0,45.0,22.0,15000.0,0.09096599999999999,5140.75,118.0,6.0,5918.87,2.0,2351.0,0.44391525,1.0,7.0,0.0,1518.65,0.0,19.0,8.0,4.0,0.0,23981.5,14521.0,9831.0,0.0,0.133230556,0.161344444,0.218466667,0.0
7751,81.0,2.0,22.0,10.0,2000.0,0.086,1883.14,9999.0,6.0,1603.9,0.0,0.0,0.34994181799999996,0.0,0.0,1.0,0.0,83.33,110.0,34.0,8.0,2.0,9900.25,3077.3,657.35,172.0,0.4950125,0.256441667,0.10955833300000001,0.0
9157,57.0,2.0,35.0,54.0,158000.0,0.8268813290000001,120251.76,193.0,6.0,94700.7,0.0,0.0,4.5275235060000005,0.0,2.0,0.0,12658.59,0.0,41.0,28.0,19.0,5.0,980608.6,529228.6,305217.6,125668.0,0.517198629,0.558258017,0.643918987,1.0
3833,1.0,0.0,29.0,17.0,28000.0,0.121853571,3241.3,9999.0,6.0,1639.17,0.0,0.0,0.102448125,0.0,0.0,0.0,0.0,0.0,565.0,417.0,268.0,90.0,45201.35,13892.5,8392.55,3441.5,0.134527827,0.082693452,0.09991131,0.0
3032,124.0,0.0,32.0,15.0,6000.0,0.998,5688.6,99.0,6.0,3972.72,1.0,5600.0,0.09534528,2.0,2.0,0.0,936.03,0.0,20.0,6.0,3.0,1.0,38403.79,18759.0,10090.0,5980.0,0.533385972,0.521083333,0.5605555560000001,0.0
7830,12.0,0.0,23.0,15.0,3000.0,1.002666667,2850.0,424.0,6.0,2575.73,0.0,0.0,1.103884286,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,1.0,30820.0,18000.0,9000.0,3000.0,0.8561111109999999,1.0,1.0,0.0
6264,17.0,0.0,57.0,95.0,200000.0,0.08435,16026.5,849.0,6.0,38646.2,0.0,0.0,1.8550176,0.0,0.0,0.0,0.0,0.0,24.0,11.0,6.0,1.0,332529.0,184100.0,103820.0,16870.0,0.13855375,0.15341666699999998,0.173033333,0.0
5797,1.0,0.0,41.0,72.0,100000.0,0.01395,1325.25,9999.0,6.0,9738.95,0.0,0.0,0.4674696,0.0,0.0,0.0,0.0,0.0,48.0,24.0,11.0,2.0,175095.64,68049.32,24369.98,1395.0,0.145913033,0.11341553300000001,0.081233267,0.0
5929,121.0,0.0,38.0,15.0,15000.0,0.0,834.33,395.0,6.0,2579.61,0.0,0.0,0.114649333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9449,13.0,1.0,32.0,2.0,6000.0,0.851333333,4790.43,9999.0,2.0,2488.56,0.0,0.0,0.2986272,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1.0,10881.86,10881.86,10881.86,5100.0,0.906821667,0.906821667,0.906821667,1.0
3757,23.0,0.0,43.0,67.0,65000.0,0.0,7305.18,1989.0,6.0,40899.08,0.0,0.0,0.931288349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1.0,2.0,33.0,14.0,23000.0,0.212559565,4643.38,9999.0,6.0,1978.71,0.0,0.0,0.1582968,0.0,0.0,0.0,0.0,0.0,349.0,226.0,173.0,41.0,31319.6,15750.29,11396.05,4928.07,0.116864179,0.11413253599999999,0.165160145,0.0
7042,84.0,0.0,40.0,23.0,2000.0,0.0,1372.23,9999.0,6.0,1819.27,0.0,0.0,1.212846667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,547.58,0.0,0.0,0.0,0.022815832999999997,0.0,0.0,0.0
6165,13.0,0.0,37.0,60.0,126500.0,0.12156917,14608.96,9999.0,6.0,14557.46,0.0,0.0,1.7468952000000002,0.0,0.0,0.0,0.0,0.0,116.0,73.0,35.0,15.0,264462.35,101945.72,24872.85,15378.5,0.174217622,0.134315837,0.065541107,0.0
7089,6.0,0.0,46.0,4.0,4500.0,0.279726667,4160.78,9999.0,4.0,4448.95,0.0,0.0,0.533874,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3121.0,3121.0,0.0,0.0,0.173388889,0.173388889,0.0,0.0
2554,1.0,2.0,36.0,83.0,57000.0,0.051914035,2811.14,9999.0,6.0,3132.94,0.0,0.0,0.22647759,0.0,0.0,0.0,0.0,0.0,90.0,54.0,19.0,6.0,30901.89,21930.57,7071.9,2959.1,0.045178202,0.064124474,0.04135614,0.0
684,96.0,0.0,35.0,70.0,16500.0,0.309078788,4844.81,9999.0,6.0,1393.01,0.0,0.0,0.35566212799999997,0.0,0.0,0.0,0.0,0.0,63.0,32.0,15.0,2.0,18619.6,10084.42,6977.4,5099.8,0.089949758,0.101862828,0.140957576,0.0
1771,16.0,0.0,37.0,70.0,39500.0,0.25832379699999997,0.0,239.0,6.0,24294.75,0.0,0.0,2.082407143,2.0,20.0,0.0,3161.05,0.0,169.0,92.0,55.0,25.0,145943.45,86891.39,63782.77,19689.83,0.307897574,0.36663033799999994,0.538251224,0.0
3188,74.0,0.0,32.0,11.0,10000.0,1.0,9024.05,9999.0,6.0,8142.29,0.0,0.0,0.32569159999999997,0.0,0.0,0.0,0.0,0.0,101.0,62.0,42.0,14.0,106347.0,59999.0,30000.0,10000.0,0.9667909090000001,0.999983333,1.0,0.0
5693,1.0,0.0,38.0,29.0,84000.0,0.060222976,4805.79,250.0,6.0,7515.33,0.0,0.0,0.36073584,0.0,1.0,0.0,2310.05,0.0,592.0,330.0,158.0,62.0,120577.42,47493.87,15158.52,5052.73,0.135785383,0.094233869,0.060152857000000004,0.0
3380,16.0,0.0,25.0,2.0,45000.0,0.08128155599999999,3391.19,9999.0,2.0,1814.94,0.0,0.0,0.21779279999999998,0.0,0.0,0.0,0.0,0.0,67.0,67.0,67.0,67.0,3657.67,3657.67,3657.67,3657.67,0.08128155599999999,0.08128155599999999,0.08128155599999999,0.0
1386,8.0,0.0,52.0,7.0,50000.0,0.4546652,14006.65,9999.0,6.0,12707.05,0.0,0.0,1.524846,0.0,4.0,1.0,2917.17,2083.33,48.0,45.0,30.0,17.0,118474.5,104279.5,46844.1,19724.0,0.338498571,0.347598333,0.312294,0.0
5822,94.0,0.0,45.0,56.0,10000.0,0.46937299999999993,3766.44,349.0,6.0,2424.08,0.0,0.0,0.5817791999999999,3.0,1.0,0.0,727.74,0.0,10.0,7.0,2.0,2.0,22748.0,12214.0,3966.0,3966.0,0.189566667,0.20356666699999998,0.1322,0.0
200,16.0,2.0,24.0,15.0,32500.0,0.0,26428.1,9999.0,6.0,37037.35,0.0,0.0,4.400477228,0.0,0.0,1.0,0.0,1750.0,58.0,21.0,0.0,0.0,98853.76,38523.7,0.0,0.0,0.29730454100000003,0.197557436,0.0,0.0
9768,68.0,0.0,30.0,11.0,70000.0,0.5900905710000001,38957.12,9999.0,6.0,27679.16,0.0,0.0,1.6607496,0.0,1.0,0.0,843.33,0.0,39.0,20.0,8.0,4.0,247330.6,188584.1,82200.0,41000.0,0.43391333299999996,0.589325313,0.48352941200000005,1.0
5647,84.0,0.0,56.0,102.0,99000.0,0.323347576,39327.49,372.0,6.0,46602.09,0.0,0.0,2.7961254,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9883,133.0,0.0,34.0,12.0,10000.0,0.48,4560.0,9999.0,3.0,4646.67,0.0,0.0,0.929334,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,13.0,13940.0,13940.0,13940.0,4800.0,0.46466666700000003,0.46466666700000003,0.46466666700000003,1.0
8774,138.0,0.0,53.0,2.0,2000.0,0.9,1620.0,9999.0,1.0,1800.0,0.0,0.0,0.617142857,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1800.0,1800.0,1800.0,1800.0,0.9,0.9,0.9,1.0
624,13.0,0.0,41.0,57.0,13000.0,0.505692308,3918.84,9999.0,6.0,-1163.34,0.0,0.0,-0.21812625,0.0,0.0,0.0,0.0,0.0,39.0,13.0,5.0,5.0,47004.9,18686.0,6574.0,6574.0,0.301313462,0.239564103,0.16856410300000002,0.0
5743,76.0,0.0,36.0,22.0,8000.0,0.0,2696.87,9999.0,6.0,8480.88,0.0,0.0,1.0177056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225,88.0,0.0,46.0,15.0,50000.0,0.751053,31696.71,181.0,6.0,22700.63,0.0,0.0,1.8160504000000002,0.0,14.0,0.0,4454.4,0.0,136.0,89.0,63.0,27.0,192099.28,124390.73,87660.69,33344.96,0.320165467,0.41463576700000004,0.5844045999999999,0.0
7253,77.0,2.0,29.0,2.0,8000.0,0.6447125,4641.93,9999.0,1.0,5157.7,0.0,0.0,0.206308,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,5157.7,5157.7,5157.7,5157.7,0.6447125,0.6447125,0.6447125,0.0
1701,39.0,0.0,36.0,11.0,2000.0,0.0,341.15,284.0,6.0,2231.44,0.0,0.0,0.13388640000000002,0.0,2.0,1.0,91.01,83.33,10.0,0.0,0.0,0.0,1640.91,0.0,0.0,0.0,0.074586818,0.0,0.0,0.0
3344,80.0,0.0,36.0,1.0,25000.0,0.7328392,16488.88,9999.0,1.0,18320.98,0.0,0.0,1.0992587999999999,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,18320.98,18320.98,18320.98,18320.98,0.7328392,0.7328392,0.7328392,0.0
8331,16.0,2.0,27.0,12.0,4000.0,1.0988175,836.62,60.0,6.0,897.32,3.0,613.5166667000001,0.0538392,0.0,6.0,0.0,487.26,0.0,111.0,24.0,9.0,1.0,18258.03,11107.1,9147.92,3900.0,0.468154615,0.462795833,0.7623266670000001,1.0
6812,8.0,2.0,25.0,19.0,29000.0,1.0274434479999999,1752.12,49.0,6.0,17714.5,1.0,25534.02,3.036771429,3.0,1.0,2.0,2127.84,4416.67,47.0,22.0,10.0,6.0,87795.98,59624.0,54406.0,28300.0,0.25228729899999996,0.34266666700000004,0.625356322,0.0
9956,46.0,2.0,23.0,19.0,30000.0,1.3304943329999999,19689.31,22.0,6.0,23492.14,2.0,14000.0,2.8190568,1.0,2.0,1.0,2333.33,4166.67,66.0,37.0,19.0,7.0,371329.36,155085.63,59200.5,39048.5,1.031470444,0.8615868329999999,0.657783333,1.0
14,131.0,2.0,34.0,10.0,38000.0,0.015726841999999998,567.74,9999.0,6.0,11617.58,0.0,0.0,0.562140968,0.0,0.0,0.0,0.0,0.0,305.0,126.0,18.0,3.0,93045.18,81392.21,34552.14,597.62,0.325332797,0.41107176799999995,0.303088947,0.0
7918,99.0,0.0,42.0,18.0,50000.0,0.060902,2892.84,9999.0,6.0,6664.39,0.0,0.0,0.334613724,0.0,0.0,0.0,0.0,0.0,57.0,39.0,33.0,12.0,77305.43,46602.71,33370.92,3037.1,0.128842383,0.15534236699999998,0.2224728,0.0
7090,84.0,0.0,53.0,74.0,6000.0,0.266566667,0.0,9999.0,6.0,5568.03,0.0,0.0,1.3363272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6686,64.0,0.0,35.0,5.0,35000.0,0.251642857,8367.12,9999.0,5.0,4349.25,0.0,0.0,0.20876399999999998,0.0,0.0,0.0,0.0,0.0,31.0,31.0,21.0,8.0,23486.27,23486.27,22278.0,10499.5,0.161974276,0.161974276,0.23450526300000002,0.0
