city,mar_status,age,xaccount_age,cred_limit,this_bill_rate,this_bill_mp,last_mp_days,six_bill_num,six_bill_avg_amt,six_cycle_mp_num,six_cycle_mp_avg_amt,six_bill_avg_debt_rate,six_bill_low_repay_num,epp_nbr_12m,alop_nbr_12m,epp_avg_amt_12m,alop_avg_amt_12m,consume_num_session12,consume_num_session6,consume_num_session3,consume_num_session,consume_amt_session12,consume_amt_session6,consume_amt_session3,consume_amt_session,month_avg_use_year,month_avg_use_month6,month_avg_use_month3,target
121,0,25,2,20000,0.794635,14303.43,9999,1,15892.7,0,0,2.383905,0,0,0,0,0,2,2,2,2,15892.7,15892.7,15892.7,15892.7,0.794635,0.794635,0.794635,0
135,2,24,15,21000,0.204808571,17055.56,272,6,13423.42,0,0,2.51689125,2,6,0,1883.01,0,44,27,12,5,52044.82,20124.82,9238.97,2397.97,0.206527063,0.159720794,0.146650317,0
68,0,35,60,52000,0.034031923,32468.05,270,6,26820.78,0,0,1.532616,6,1,0,2018.33,0,20,7,6,1,90647,22786,14586,135,0.145267628,0.073032051,0.0935,1
77,0,55,19,60000,0.999983333,56999.01,9999,6,54124.36,0,0,3.936317091,0,1,0,975,0,50,32,15,8,615540.3,367157.1,179884,59999,0.854917083,1.019880833,0.999355556,0
102,2,28,16,24000,0.092616667,15612.17,9999,6,23000.04,0,0,2.486490811,0,0,0,0,0,53,0,0,0,16990.71,0,0,0,0.058995521,0,0,0
91,0,27,10,50000,0.81142,38487.25,9999,6,16196.67,0,0,3.239334,0,2,0,1533.06,0,58,39,22,8,112700.05,94955.2,87709.9,40563,0.285316582,0.316517333,0.584732667,0
52,0,34,10,16000,0.160660625,9270.52,9999,6,5179.99,0,0,1.035998,0,0,0,0,0,531,323,230,93,52021,15384.94,8446.58,3102.28,0.32513125,0.160259792,0.175970417,0
121,0,42,63,163000,0.208,32208.8,1053,6,34884.99,0,0,2.462469882,0,0,0,0,0,46,28,14,4,364552.47,193658.36,109940.61,33904,0.226994066,0.208683578,0.224827423,0
32,0,45,59,16000,1,15180.3,1115,6,13696.51,0,0,3.913288571,0,0,0,0,0,36,18,9,3,191997,96000,48000,16000,0.999984375,1,1,0
110,0,37,55,92000,0.344421957,15858.72,114,6,49694.28,1,20000,6.934085581,0,1,0,1666.67,0,443,213,101,21,672180.65,348046.25,170410.24,28552.49,0.709051319,0.630518569,0.617428406,0
121,0,29,17,4500,1.001777778,4275,181,6,1748.16,0,0,0.1398528,2,4,0,772,0,25,9,2,1,32241.2,10498.23,8500,4500,0.597059259,0.388823333,0.62962963,0
28,2,29,8,15500,0.106967742,1575.1,9999,6,888.88,0,0,0.152379429,1,0,0,0,0,4,4,4,4,1105,1105,1105,1105,0.071290323,0.071290323,0.071290323,0
114,1,37,11,20000,1.0004,19000,9999,6,17121.57,0,0,2.0545884,0,0,0,0,0,37,26,12,4,199416,119810,59814,20000,0.99708,0.998416667,0.9969,0
92,0,40,2,10000,0.234418,596.6,9999,2,2030.19,0,0,0.3045285,1,0,1,0,416.67,2,2,2,2,628,628,628,628,0.0314,0.0314,0.0314,0
102,0,29,7,50000,0.0791666,0,42,5,11753.51,1,47500,1.037074412,3,1,0,3958.33,0,1,1,1,0,50000,50000,50000,0,0.333333333,0.333333333,0.333333333,0
1,0,34,96,50000,0.001685,8877.73,9999,6,9894.57,0,0,2.3746968,0,0,0,0,0,42,23,13,4,23362.67,15414.83,2276.85,84.25,0.044080509,0.053154586,0.015179,1
121,0,29,19,11000,1.000636364,10272.98,546,6,12547.85,0,0,3.764355,0,0,0,0,0,24,8,3,1,227331.66,92679,34799,10999,1.014873482,1.041337079,1.054515152,0
84,2,27,18,20000,0.664331,11830.43,98,6,10753.41,1,10000,2.5808184,0,1,0,833.33,0,108,54,46,10,153628.07,86780.91,48657.83,12453.29,0.640116958,0.72317425,0.810963833,1
81,2,25,11,5000,0.9456,4349.1,9999,6,4091.57,0,0,0.386605039,0,0,0,0,0,25,16,10,4,58793,28835,14156,4720,1.068963636,0.961166667,0.943733333,0
76,0,38,3,50000,0.7606816,35446.24,9999,3,42238.78,0,0,5.0686536,0,0,0,0,0,21,21,21,9,127595.83,127595.83,127595.83,38026.08,0.850638867,0.850638867,0.850638867,0
120,0,45,22,15000,0.090966,5140.75,118,6,5918.87,2,2351,0.44391525,1,7,0,1518.65,0,19,8,4,0,23981.5,14521,9831,0,0.133230556,0.161344444,0.218466667,0
81,2,22,10,2000,0.086,1883.14,9999,6,1603.9,0,0,0.349941818,0,0,1,0,83.33,110,34,8,2,9900.25,3077.3,657.35,172,0.4950125,0.256441667,0.109558333,0
57,2,35,54,158000,0.826881329,120251.76,193,6,94700.7,0,0,4.527523506,0,2,0,12658.59,0,41,28,19,5,980608.6,529228.6,305217.6,125668,0.517198629,0.558258017,0.643918987,1
1,0,29,17,28000,0.121853571,3241.3,9999,6,1639.17,0,0,0.102448125,0,0,0,0,0,565,417,268,90,45201.35,13892.5,8392.55,3441.5,0.134527827,0.082693452,0.09991131,0
124,0,32,15,6000,0.998,5688.6,99,6,3972.72,1,5600,0.09534528,2,2,0,936.03,0,20,6,3,1,38403.79,18759,10090,5980,0.533385972,0.521083333,0.560555556,0
12,0,23,15,3000,1.002666667,2850,424,6,2575.73,0,0,1.103884286,0,0,0,0,0,12,6,3,1,30820,18000,9000,3000,0.856111111,1,1,0
17,0,57,95,200000,0.08435,16026.5,849,6,38646.2,0,0,1.8550176,0,0,0,0,0,24,11,6,1,332529,184100,103820,16870,0.13855375,0.153416667,0.173033333,0
1,0,41,72,100000,0.01395,1325.25,9999,6,9738.95,0,0,0.4674696,0,0,0,0,0,48,24,11,2,175095.64,68049.32,24369.98,1395,0.145913033,0.113415533,0.081233267,0
121,0,38,15,15000,0,834.33,395,6,2579.61,0,0,0.114649333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,32,2,6000,0.851333333,4790.43,9999,2,2488.56,0,0,0.2986272,0,0,0,0,0,11,11,11,1,10881.86,10881.86,10881.86,5100,0.906821667,0.906821667,0.906821667,1
23,0,43,67,65000,0,7305.18,1989,6,40899.08,0,0,0.931288349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,33,14,23000,0.212559565,4643.38,9999,6,1978.71,0,0,0.1582968,0,0,0,0,0,349,226,173,41,31319.6,15750.29,11396.05,4928.07,0.116864179,0.114132536,0.165160145,0
84,0,40,23,2000,0,1372.23,9999,6,1819.27,0,0,1.212846667,0,0,0,0,0,15,0,0,0,547.58,0,0,0,0.022815833,0,0,0
13,0,37,60,126500,0.12156917,14608.96,9999,6,14557.46,0,0,1.7468952,0,0,0,0,0,116,73,35,15,264462.35,101945.72,24872.85,15378.5,0.174217622,0.134315837,0.065541107,0
6,0,46,4,4500,0.279726667,4160.78,9999,4,4448.95,0,0,0.533874,3,0,0,0,0,1,1,0,0,3121,3121,0,0,0.173388889,0.173388889,0,0
1,2,36,83,57000,0.051914035,2811.14,9999,6,3132.94,0,0,0.22647759,0,0,0,0,0,90,54,19,6,30901.89,21930.57,7071.9,2959.1,0.045178202,0.064124474,0.04135614,0
96,0,35,70,16500,0.309078788,4844.81,9999,6,1393.01,0,0,0.355662128,0,0,0,0,0,63,32,15,2,18619.6,10084.42,6977.4,5099.8,0.089949758,0.101862828,0.140957576,0
16,0,37,70,39500,0.258323797,0,239,6,24294.75,0,0,2.082407143,2,20,0,3161.05,0,169,92,55,25,145943.45,86891.39,63782.77,19689.83,0.307897574,0.366630338,0.538251224,0
74,0,32,11,10000,1,9024.05,9999,6,8142.29,0,0,0.3256916,0,0,0,0,0,101,62,42,14,106347,59999,30000,10000,0.966790909,0.999983333,1,0
1,0,38,29,84000,0.060222976,4805.79,250,6,7515.33,0,0,0.36073584,0,1,0,2310.05,0,592,330,158,62,120577.42,47493.87,15158.52,5052.73,0.135785383,0.094233869,0.060152857,0
16,0,25,2,45000,0.081281556,3391.19,9999,2,1814.94,0,0,0.2177928,0,0,0,0,0,67,67,67,67,3657.67,3657.67,3657.67,3657.67,0.081281556,0.081281556,0.081281556,0
8,0,52,7,50000,0.4546652,14006.65,9999,6,12707.05,0,0,1.524846,0,4,1,2917.17,2083.33,48,45,30,17,118474.5,104279.5,46844.1,19724,0.338498571,0.347598333,0.312294,0
94,0,45,56,10000,0.469373,3766.44,349,6,2424.08,0,0,0.5817792,3,1,0,727.74,0,10,7,2,2,22748,12214,3966,3966,0.189566667,0.203566667,0.1322,0
16,2,24,15,32500,0,26428.1,9999,6,37037.35,0,0,4.400477228,0,0,1,0,1750,58,21,0,0,98853.76,38523.7,0,0,0.297304541,0.197557436,0,0
68,0,30,11,70000,0.590090571,38957.12,9999,6,27679.16,0,0,1.6607496,0,1,0,843.33,0,39,20,8,4,247330.6,188584.1,82200,41000,0.433913333,0.589325313,0.483529412,1
84,0,56,102,99000,0.323347576,39327.49,372,6,46602.09,0,0,2.7961254,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,34,12,10000,0.48,4560,9999,3,4646.67,0,0,0.929334,0,0,0,0,0,16,16,16,13,13940,13940,13940,4800,0.464666667,0.464666667,0.464666667,1
138,0,53,2,2000,0.9,1620,9999,1,1800,0,0,0.617142857,0,0,0,0,0,1,1,1,1,1800,1800,1800,1800,0.9,0.9,0.9,1
13,0,41,57,13000,0.505692308,3918.84,9999,6,-1163.34,0,0,-0.21812625,0,0,0,0,0,39,13,5,5,47004.9,18686,6574,6574,0.301313462,0.239564103,0.168564103,0
76,0,36,22,8000,0,2696.87,9999,6,8480.88,0,0,1.0177056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,46,15,50000,0.751053,31696.71,181,6,22700.63,0,0,1.8160504,0,14,0,4454.4,0,136,89,63,27,192099.28,124390.73,87660.69,33344.96,0.320165467,0.414635767,0.5844046,0
77,2,29,2,8000,0.6447125,4641.93,9999,1,5157.7,0,0,0.206308,0,0,0,0,0,7,7,7,7,5157.7,5157.7,5157.7,5157.7,0.6447125,0.6447125,0.6447125,0
39,0,36,11,2000,0,341.15,284,6,2231.44,0,0,0.1338864,0,2,1,91.01,83.33,10,0,0,0,1640.91,0,0,0,0.074586818,0,0,0
80,0,36,1,25000,0.7328392,16488.88,9999,1,18320.98,0,0,1.0992588,0,0,0,0,0,5,5,5,5,18320.98,18320.98,18320.98,18320.98,0.7328392,0.7328392,0.7328392,0
16,2,27,12,4000,1.0988175,836.62,60,6,897.32,3,613.5166667,0.0538392,0,6,0,487.26,0,111,24,9,1,18258.03,11107.1,9147.92,3900,0.468154615,0.462795833,0.762326667,1
8,2,25,19,29000,1.027443448,1752.12,49,6,17714.5,1,25534.02,3.036771429,3,1,2,2127.84,4416.67,47,22,10,6,87795.98,59624,54406,28300,0.252287299,0.342666667,0.625356322,0
46,2,23,19,30000,1.330494333,19689.31,22,6,23492.14,2,14000,2.8190568,1,2,1,2333.33,4166.67,66,37,19,7,371329.36,155085.63,59200.5,39048.5,1.031470444,0.861586833,0.657783333,1
131,2,34,10,38000,0.015726842,567.74,9999,6,11617.58,0,0,0.562140968,0,0,0,0,0,305,126,18,3,93045.18,81392.21,34552.14,597.62,0.325332797,0.411071768,0.303088947,0
99,0,42,18,50000,0.060902,2892.84,9999,6,6664.39,0,0,0.334613724,0,0,0,0,0,57,39,33,12,77305.43,46602.71,33370.92,3037.1,0.128842383,0.155342367,0.2224728,0
84,0,53,74,6000,0.266566667,0,9999,6,5568.03,0,0,1.3363272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,35,5,35000,0.251642857,8367.12,9999,5,4349.25,0,0,0.208764,0,0,0,0,0,31,31,21,8,23486.27,23486.27,22278,10499.5,0.161974276,0.161974276,0.234505263,0
26,0,27,19,12000,0.40501,10050.55,9999,6,13037.24,0,0,1.955586,0,0,0,0,0,40,30,27,19,229421.69,86170.49,17282.69,5030.41,0.910403532,0.797874907,0.480074722,0
16,0,35,80,25500,0.253902353,18564.58,303,6,13919.28,0,0,1.284856615,3,2,0,2000.52,0,48,48,14,5,29966.53,29966.53,11556.28,5474,0.099556578,0.199113156,0.151062484,0
34,2,30,54,26500,0.103398491,2602.94,9999,6,5168.07,0,0,1.192631538,0,0,0,0,0,545,268,133,56,70150.97,36483.56,18997.43,2857.1,0.297880977,0.300276214,0.294533798,0
139,0,29,12,2000,0.004,1452.03,9999,6,1501.16,0,0,0.333591111,4,0,0,0,0,7,3,0,0,6073.5,2582,0,0,0.2530625,0.215166667,0,0
15,2,32,15,8000,1,7522.33,9999,6,6787.06,0,0,0.48192142,0,0,0,0,0,69,45,25,6,128000,80000,40000,8000,1.333333333,1.666666667,1.666666667,1
1,0,32,80,74500,0.290107383,19024.17,9999,6,15738.37,0,0,3.372507857,0,0,0,0,0,98,52,28,5,227482.46,115270.41,51733.71,21613,0.280842543,0.270587817,0.231470738,0
13,2,25,23,4000,1,3799.67,9999,6,3395.36,0,0,1.101197838,0,0,0,0,0,38,19,12,4,31831.48,24110,11915,4000,0.663155833,1.004583333,0.992916667,0
49,0,28,9,30000,1.0053,28277.02,9999,6,19651.78,0,0,1.1791068,0,0,0,0,0,16,13,3,1,245352.4,207346.4,89760.4,30159,1.022301667,1.151924444,0.997337778,0
46,0,33,3,4500,1.332544444,3596.8,9999,1,3996.45,0,0,0.319716,0,0,0,0,0,20,20,20,20,5996.45,5996.45,5996.45,5996.45,1.332544444,1.332544444,1.332544444,0
89,0,38,7,10000,0.709999,1082.16,30,6,3623.82,4,3386.785,0.4348584,0,4,1,1128.93,83.33,23,17,5,2,48471.15,40740.25,14522.87,5280.22,0.692445,0.679004167,0.484095667,1
58,2,29,25,9500,0.389433684,2992.21,9999,6,1161.83,0,0,0.774553333,3,2,0,549.92,0,98,40,10,3,14908.01,12533.09,3503.7,3149.7,0.156926421,0.219878772,0.122936842,0
78,0,31,12,40000,0.92308875,32964.05,103,6,25597.64,1,3798.38,3.199705,0,5,1,1908.03,4250,52,30,16,7,211101.91,151015,90755,34671,0.586394194,0.686431818,0.756291667,1
121,2,26,12,31000,0.602193548,17734.6,9999,6,10293.43,0,0,1.2352116,0,0,0,0,0,26,9,6,1,99210.7,74198.4,44387,18668,0.329057048,0.453812844,0.519146199,0
121,0,30,18,10500,0.666666667,6650,9999,6,8463.54,0,0,0.3385416,0,0,0,0,0,17,9,7,1,152244.91,59244.91,17244.91,7000,0.724975762,0.705296548,0.54745746,0
6,0,28,7,20000,0.975,17829.64,9999,6,16504.77,0,0,3.300954,0,0,0,0,0,56,56,24,7,138725.4,138725.4,64922.4,19500,1.156045,1.156045,1.08204,0
1,0,32,21,37000,0.022793243,801.18,9999,6,2849.08,0,0,0.063785373,1,0,0,0,0,144,61,34,14,18701.31,5084.5,1600.61,843.35,0.048956309,0.022903153,0.01441991,0
27,1,30,5,1,0,0,9999,5,3877.69,0,0,0.1938845,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,31,10,4000,0.075,285,9999,6,1342.35,0,0,0.53694,0,0,1,0,666.67,2,1,1,0,2712,2640,2640,0,0.079764706,0.11,0.22,0
1,0,43,97,52000,0.313846154,28576.12,493,6,13019.72,0,0,1.420333091,3,0,0,0,0,30,13,11,7,48924.57,36364.7,24429.7,16320,0.07840476,0.116553526,0.156600641,1
94,0,35,15,6000,0.171618333,0,9999,6,3013.03,0,0,0.669562222,3,0,4,0,3916.67,11,8,2,0,4408.83,1557.03,88.55,0,0.11022075,0.048657188,0.004919444,0
1,0,36,67,60000,0.028641667,1632.57,9999,4,923.73,0,0,0.0554238,0,0,0,0,0,26,26,16,3,3694.94,3694.94,1960.34,1718.5,0.015395583,0.015395583,0.010890778,0
1,2,24,10,15000,0.273938667,10583.86,9999,6,7534.02,0,0,1.506804,1,1,0,1075.08,0,51,38,17,5,38201.2,19613.6,8749.6,2861,0.254674667,0.217928889,0.194435556,0
76,0,37,91,30000,0.245170333,5839.45,30,6,8171.97,2,3022.45,0.61289775,1,22,0,1992.9,0,302,136,74,20,133978.34,61662.81,23824.94,6533.1,0.496216074,0.342571167,0.264721556,1
16,2,40,66,70000,0.058659,5459.9,9999,6,3987.86,0,0,0.2392716,0,0,0,0,0,456,229,162,65,79330.63,28754.44,19039.97,6273.32,0.094441226,0.068462952,0.090666524,0
18,0,47,9,14000,0.217270714,1556.1,46,6,3959.29,2,4623.975,0.395929,1,3,0,1403.79,0,72,39,18,8,28915,19802,4593,1610,0.28915,0.235738095,0.109357143,0
94,0,33,18,23500,0.763949362,16994.68,9999,6,11427.97,0,0,1.8284752,2,0,0,0,0,84,67,44,19,62283.08,40298.02,22777.8,17952.81,0.306059361,0.313603268,0.347752672,0
34,0,45,5,20000,0.129194,2454.57,9999,5,2424.45,0,0,0.111468966,0,0,0,0,0,40,40,34,14,13040.68,13040.68,10243.68,3633.88,0.1304068,0.1304068,0.170728,0
16,2,29,25,33500,0.100558806,2915.28,9999,6,2880.42,0,0,0.27652032,0,0,0,0,0,321,188,77,25,94176.87,46582.31,10808.24,3368.72,0.312361095,0.231752786,0.107544677,0
12,0,26,7,30000,0.99981,28485.51,9999,6,14765.79,0,0,3.5437896,0,0,0,0,0,10,10,9,2,99748.5,99748.5,86217.5,29994.3,0.554158333,0.623428125,0.957972222,0
18,2,26,15,10000,1.0008,9500,9999,6,8578.29,0,0,2.339533636,0,0,0,0,0,14,6,3,1,119949,60000,30000,10000,0.999575,1,1,1
120,0,37,5,10000,0.8628,9204.34,9999,5,2429.22,0,0,0.0971688,3,0,0,0,0,19,19,11,3,9953.4,9953.4,9310.75,8620,0.199068,0.199068,0.310358333,0
60,0,37,15,60000,0.4507,25689.9,9999,6,20414.93,0,0,0.415923871,0,0,0,0,0,25,11,7,4,259610.21,142904.5,76849.5,27042,0.455456509,0.460982258,0.480309375,0
86,0,33,15,23000,0.630974348,11746.16,198,6,7674.53,0,0,1.1511795,4,2,2,2080.41,7500,20,17,12,6,57627,22227,19132,12432,0.208793478,0.161065217,0.277275362,0
35,2,27,8,28000,0.027471429,96.4,181,6,1623.29,0,0,0.324658,1,2,5,316.75,2166.67,5,4,2,1,4103.52,3590.52,3389.42,101.47,0.022797333,0.02244075,0.040350238,0
68,0,39,6,44000,0.03625,1515.25,9999,5,1235.78,0,0,0.089874909,1,0,0,0,0,10,10,10,1,6128.9,6128.9,6128.9,1595,0.046431061,0.046431061,0.046431061,0
63,0,31,8,50000,0.2856446,6498.66,27,6,12761.27,3,8098.043333,0.916977485,4,7,3,5126.62,5000,78,64,49,4,70060.12,51679.07,23117.33,6716.2,0.1751503,0.172263567,0.154115533,1
121,0,28,8,4500,0,1400.96,9999,6,3035.14,0,0,0.3642168,0,0,0,0,0,14,6,0,0,33344,9069,0,0,0.926222222,0.335888889,0,0
16,2,35,75,23500,0.638297872,14250,1876,6,8874.14,0,0,1.638302769,0,0,0,0,0,17,10,7,1,107095,62095,43095,15000,0.379769504,0.440390071,0.611276596,0
9,2,23,5,15000,0.579206,7258.95,13,4,4738.38,2,4054.99,0.631784,1,3,0,698.84,0,31,31,23,5,10354.61,10354.61,2022.72,113,0.172576833,0.172576833,0.044949333,0
76,0,39,15,2000,0.8565,1626.9,9999,6,876.52,0,0,0.046747733,0,0,0,0,0,3,3,3,3,1705,1705,1705,1705,0.071041667,0.142083333,0.284166667,1
93,2,26,7,3000,1.192866667,2348.4,9999,6,1390.38,0,0,0.151677818,1,0,0,0,0,52,47,24,10,16096.68,13146.58,7098.4,3570.6,0.766508571,0.730365556,0.788711111,0
81,0,33,18,20000,0.645311,11511.6,440,6,9458.33,0,0,1.4187495,0,0,0,0,0,21,12,6,2,90609,61174,33963,12110,0.3775375,0.509783333,0.56605,0
46,2,28,7,50000,0.8230392,39094.36,9999,6,23496.02,0,0,2.349602,0,0,0,0,0,58,58,28,9,141011.91,141011.91,99937.33,41151.96,0.486247966,0.486247966,0.666248867,0
16,2,24,15,32500,0.092476923,2855.22,107,6,5243.71,1,16390,1.084905517,4,8,0,2571.71,0,33,13,6,3,35045.1,25405.5,8374.5,2977.5,0.105398797,0.130284615,0.085892308,1
121,0,46,74,32000,0.997790625,30332.83,1054,6,13663.53,0,0,0.780773143,0,0,0,0,0,34,26,14,7,190868.43,95684.43,63905.1,31929.3,0.497053203,0.498356406,0.665678125,0
68,0,35,81,2000,0.443195,842.07,9999,6,-662.84,0,0,-0.345829565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2,28,11,7000,0.559187143,0,9999,5,11275.98,0,0,1.691397,0,0,1,0,6666.67,78,78,69,46,10220.52,10220.52,8179.92,3914.31,0.292014857,0.292014857,0.38952,0
39,2,34,6,23000,0.20761087,4026.2,107,5,6099.26,1,6004,0.609926,0,1,2,500.33,916.67,54,54,41,17,27801.08,27801.08,16168.1,4093.2,0.28081899,0.28081899,0.23432029,0
54,0,31,2,20000,0.1114,2116.6,9999,2,6264,0,0,0.50112,0,0,0,0,0,4,4,4,2,12528,12528,12528,2228,0.3132,0.3132,0.3132,0
